"Style","Status","Source","Output","CandidateCount"
"FT-1028","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1028\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1028.jpg","14"
"FT-1029","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1029\主图10.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1029.jpg","11"
"FT-1029-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1029-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1029-30.jpg","20"
"FT-1033","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1033\主图10.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1033.jpg","11"
"FT-1033-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1033-30\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1033-30.jpg","15"
"FT-1040","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1040\主图1 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1040.png","9"
"FT-1043","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1043\主图10 拷贝.png","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1043.png","17"
"FT-1049","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1049\主图FT-1049-30.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1049.jpg","1"
"FT-1049-30-XPE","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1049-30-XPE\主图3.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1049-30-XPE.jpg","3"
"FT-1050","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1050\主图10.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1050.jpg","11"
