"Style","Status","Source","Output","CandidateCount"
"FT1301","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1301\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1301.jpg","1"
"FT1302","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1302\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1302.jpg","1"
"FT1303","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1303\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1303.jpg","1"
"FT1304","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1304\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1304.jpg","1"
"FT1305","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1305\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1305.jpg","1"
"FT1306","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1306\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1306.jpg","1"
"FT1307","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1307\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1307.jpg","1"
"FT1308","no_scene_image_filename","","","0"
"FT1309","no_scene_image_filename","","","0"
"FT1310","no_scene_image_filename","","","0"
"FT1311","no_scene_image_filename","","","0"
"FT1312-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1312-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1312-30.jpg","1"
"FT1313-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1313-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1313-30.jpg","1"
"FT1314-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1314-30\场景2.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1314-30.jpg","2"
"FT1315-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1315-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1315-30.jpg","2"
"FT1316-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1316-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1316-30.jpg","1"
"FT1317-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1317-30\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1317-30.jpg","1"
"FT1318","no_scene_image_filename","","","0"
"FT1319-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1319-30\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1319-30.jpg","1"
"FT1320-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1320-30\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1320-30.jpg","2"
"FT1321-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1321-30\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1321-30.jpg","1"
"FT1322-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1322-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1322-30.jpg","1"
"FT1323-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1323-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1323-30.jpg","1"
"FT1324-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1324-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1324-30.jpg","1"
"FT1325-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1325-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1325-30.jpg","1"
"FT1326-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1326-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1326-30.jpg","1"
"FT1327","no_scene_image_filename","","","0"
"FT1328","no_scene_image_filename","","","0"
"FT1329","no_scene_image_filename","","","0"
"FT1330","no_scene_image_filename","","","0"
"FT1331","no_scene_image_filename","","","0"
"FT1332","no_scene_image_filename","","","0"
"FT1333-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1333-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1333-30.jpg","1"
"FT1334-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1334-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1334-30.jpg","2"
"FT1335-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT1335-30\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT1335-30.jpg","2"
